timestamp,message
1744508928181,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to CREATING RESOURCES"",""timestamp"":""2025-04-13 01:48:48,181+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508928619,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to CREATING RESOURCES"",""timestamp"":""2025-04-13 01:48:48,619+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508928621,"{""level"":""INFO"",""location"":""create_pipeline:114"",""message"":""Starting resource creation for pipeline TwelveLabs Audio Embeddings"",""timestamp"":""2025-04-13 01:48:48,621+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508928621,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 1/8: map"",""timestamp"":""2025-04-13 01:48:48,621+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929039,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 1/8: map"",""timestamp"":""2025-04-13 01:48:49,039+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929041,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 1/8 with id: map, type: flow"",""timestamp"":""2025-04-13 01:48:49,041+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929041,"{""level"":""INFO"",""location"":""create_lambda_function:209"",""message"":""Skipping Lambda creation for flow-type node: dndnode_0"",""timestamp"":""2025-04-13 01:48:49,041+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929041,"{""level"":""INFO"",""location"":""create_pipeline:145"",""message"":""No Lambda function needed for node map"",""timestamp"":""2025-04-13 01:48:49,041+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929042,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 2/8: trigger_audio_processing_completed"",""timestamp"":""2025-04-13 01:48:49,042+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
1744508929460,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 3dd9b763-e9ec-4775-a9b9-afd96e610fba status to PROCESSING NODE 2/8: trigger_audio_processing_completed"",""timestamp"":""2025-04-13 01:48:49,460+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb17fa-47ae93971b46b8a701b353b4""}
"
