timestamp,message
1744508583756,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to CREATING RESOURCES"",""timestamp"":""2025-04-13 01:43:03,720+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584156,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to CREATING RESOURCES"",""timestamp"":""2025-04-13 01:43:04,137+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584158,"{""level"":""INFO"",""location"":""create_pipeline:114"",""message"":""Starting resource creation for pipeline TwelveLabs Audio Embeddings"",""timestamp"":""2025-04-13 01:43:04,157+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584158,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 1/8: map"",""timestamp"":""2025-04-13 01:43:04,158+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584557,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 1/8: map"",""timestamp"":""2025-04-13 01:43:04,557+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584559,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 1/8 with id: map, type: flow"",""timestamp"":""2025-04-13 01:43:04,559+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584560,"{""level"":""INFO"",""location"":""create_lambda_function:209"",""message"":""Skipping Lambda creation for flow-type node: dndnode_0"",""timestamp"":""2025-04-13 01:43:04,559+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584560,"{""level"":""INFO"",""location"":""create_pipeline:145"",""message"":""No Lambda function needed for node map"",""timestamp"":""2025-04-13 01:43:04,560+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584596,"{""level"":""INFO"",""location"":""update_pipeline_status:380"",""message"":""Updating pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 2/8: trigger_audio_processing_completed"",""timestamp"":""2025-04-13 01:43:04,560+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584977,"{""level"":""INFO"",""location"":""update_pipeline_status:462"",""message"":""Successfully updated pipeline 66e9cf8e-d71a-44d8-a518-72ca0336b620 status to PROCESSING NODE 2/8: trigger_audio_processing_completed"",""timestamp"":""2025-04-13 01:43:04,977+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508584980,"{""level"":""INFO"",""location"":""create_pipeline:126"",""message"":""Processing node 2/8 with id: trigger_audio_processing_completed, type: trigger"",""timestamp"":""2025-04-13 01:43:04,979+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585036,"{""level"":""INFO"",""location"":""create_lambda_function:209"",""message"":""Skipping Lambda creation for trigger-type node: dndnode_1"",""timestamp"":""2025-04-13 01:43:04,980+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
1744508585036,"{""level"":""INFO"",""location"":""create_pipeline:145"",""message"":""No Lambda function needed for node trigger_audio_processing_completed"",""timestamp"":""2025-04-13 01:43:05,036+0000"",""service"":""service_undefined"",""xray_trace_id"":""1-67fb16a2-448580692ad706844d763547""}
"
